Sensor,BestLagSteps,LagDuration,MaxCorrelation
ind01,13,02:10:00,0.384618851498884
ind02,13,02:10:00,0.683482837828423
ind03,10,01:40:00,0.64603085592194
ind04,15,02:30:00,0.638692052842743
ind06,9,01:30:00,0.601417850719864
ind07,14,02:20:00,0.700814324054783
ind08,11,01:50:00,0.692084809696226
ind09,7,01:10:00,0.759021649984314
ind10,10,01:40:00,0.646136686516699
ind11,14,02:20:00,0.56634410568379
ind12,12,02:00:00,0.528640108080897
ind13,11,01:50:00,0.586094261554113
ind14,11,01:50:00,0.719028647255059
ind15,11,01:50:00,0.567641207813422
ind16,16,02:40:00,0.651638411682109
ind17,14,02:20:00,0.466885481759298
ind18,16,02:40:00,0.582014137834402
ind19,13,02:10:00,0.65784525631844
ind20,13,02:10:00,0.584054700988008
ind21,13,02:10:00,0.417475763171843
