Sensor,R2_Test,Outdoor PC(0.3),410nm,Outdoor Wind Direction,Outdoor Humidity,705nm,585nm,Outdoor PC(1.0),Outdoor Temperature,Outdoor Dew Point,Outdoor PC(0.5),645nm,SolarZenithAngle,Outdoor PM(5.0),Outdoor PC(0.1),Outdoor Pressure,Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(2.5),Outdoor PM(1.0),560nm,Outdoor PM(0.5)
ind01,0.862777019004216,0.35143237353831663,0.13651134056543032,0.22034587845992465,0.2677832132486531,0.20879485003646822,0.616407991860627,3.309448341027662,0.8782136402482364,0.5950411257700843,5.848044071024819,,,,,,,,,,,,
ind02,0.966951636060386,,,,,,0.3922381877601585,2.6209804562551615,0.6768560252946278,0.2852539454860511,4.728185740822366,0.4165114557725719,0.35325366297326133,0.8037524226664163,0.37704276132538433,0.27432070310825735,,,,,,,
ind03,0.9679904028728075,,,,,,0.36318422957338486,3.1582564841998084,0.7382698804216109,0.2808310507676081,5.0259688213310305,0.3128817857620451,0.36040455104159685,,0.28539645497397,0.29465085654722234,0.51829789138218,,,,,,
ind04,0.968329327008462,,,,,,0.3750941213476811,2.6646719021882004,0.45460024646759695,0.28354491555257855,5.886915151303345,0.4547382251136657,0.2765065772753332,,0.4095365996178999,0.23566428857563673,,0.1406228429240907,,,,,
ind06,0.9819886050285693,,,,,,0.33911386058241855,2.887428088285341,0.4987529442038564,0.33247905438827713,3.5086962590360304,0.4907762471720134,,0.6103425236760772,,0.209792766991958,,,0.2918463838614758,3.810309593744872,,,
ind07,0.9731887321690327,,,,,,0.5211435295912153,2.7998438640176286,0.6297662700989178,0.3198280890868408,5.129430350404362,,0.29602332334004694,0.7164122530135163,0.316609494859645,0.3110361159451083,,,,0.4068986766809881,,,
ind08,0.9742917544164708,,,,,,0.3449748986375081,3.0233540059563553,0.6170017826499531,0.38745912051438564,4.376679168555892,,,0.31563074495832755,0.4198049979962058,0.33647347601191824,,,,1.3702832587020288,0.3971896828374188,,
ind09,0.9337565711670527,,,,,,0.2995982124053534,3.0533127577476615,0.8254030799681131,0.4380662902463936,3.4132172490356067,0.3393349345697417,,0.9988042014997959,0.7181537418714606,0.3069791269041684,0.21741961385671404,,,,,,
ind10,0.9522697482718371,,,,,,,4.241927966513796,0.8139213809134405,0.3826932384398488,2.342031180136879,,0.35303092345864634,0.5623841942681386,0.8901057873375214,0.4166222416131152,0.18476879620986464,,,0.517097645470337,,,
ind11,0.9475373428939781,,,,0.19361617501529166,0.23337156165228168,0.7888973109049812,3.4058547669971735,0.9142856552217422,0.4056628386294811,5.046350665269914,0.65410109842961,,,,,0.9440132309863882,,,,,0.2087812270331394,
ind12,0.9523055396681902,,,0.23799110346488386,0.14201929416403825,0.21260920876379172,0.5697222789895728,3.862667083553378,0.6671781058265488,0.5565347567624405,4.885028859339166,,,,0.896920359759997,,,,,0.8967957756246837,,,
ind13,0.9577575783316261,,,,0.2044455218919987,0.3039863591731543,0.9456805607803581,4.155137102739012,0.7065618728804809,0.61848849862738,5.254042582328259,0.839811424395542,,,0.7549837865790636,,,,,,,,0.35088476683049497
ind14,0.9533235522090253,0.14346409356818615,,,,,0.35522778319167514,3.3073967184037976,0.710921651000722,0.35899492376644837,3.9200424500354853,,,,1.3163513739878945,0.32216605652168223,0.41430839866207453,,,0.25219026226143454,,,
ind15,0.9591083799031115,,,,0.21276620587992295,0.21152151706081562,0.8445152855465273,3.5180432218612965,0.6977814321007574,0.312688955329418,4.582003315890238,1.1024292143024974,,,0.6403528144686895,,,,,0.5998067518597452,,,
ind16,0.9699294734800629,,,,,,0.36789443013769757,4.167927502653953,0.4661071433358568,0.4885852322364272,3.1996653793921364,0.3585872298730559,,1.150080935321239,0.446210137900253,0.29526264950972353,,,,0.21319611198210286,,,
ind17,0.9475775804306016,,0.26947358938799254,,0.479251602196739,0.5732070977632475,0.568858647031411,2.600742750489381,,,4.513693969744942,,0.1911581162369114,,0.9714289627114314,0.506937773633211,,,,,,0.9625236266168588,
ind18,0.9622267051321212,,,,,0.19751919105796012,0.6970222029361858,3.4764754416607095,0.740037076446444,0.4291638967574948,4.22758116018538,0.7519121203761968,,0.5248180706837333,0.5441546120473203,,,,,0.48876667139100066,,,
ind19,0.9678207933131262,,,,,,0.26441684776857693,3.2804855675731677,0.4832337375547252,0.4853167333576134,4.09182744611555,0.283773788983502,,1.7717615390425223,0.4446003218185999,0.26659836423992334,0.3879836183869011,,,,,,
ind20,0.9567845626370334,,,,,0.16345294603188412,0.5701847174750463,2.885285897620232,0.6957617729370957,0.49404272708051916,5.208840768691895,0.6520504716253609,,0.44584350263448963,0.6525372517216987,,0.3218004806704271,,,,,,
ind21,0.8980761487701633,,,0.46364134512795685,,0.5284331065840931,2.5186522251424295,3.5555220239391665,0.7936833917006626,0.7187682013577145,6.468777150875769,2.2330151503008695,,,,,,,,,0.42231507620767694,,0.30502027377721863
