Sensor,R2_Test,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
ind01,0.8016477121400978,0.009279443261739795,0.0009463903422478826,0.07478409248883666,0.7364002637677987,0.13739912873158044,0.005042559938484547,0.033663715949787565,0.0,0.0022069990086563073,0.01005255373481564,0.00283634849420511,0.0022908640962542525,0.05739928459512269,4.7361975085991046e-05,0.03450625159385514,0.10475743008110897,0.14311629701923828,0.17121015427474512,0.00896240115844027,0.007425768066692373,0.009880538965571306,0.00018954868288023619,0.0008584272379763113,0.0007535243214841003,-2.5422261460184003e-06,0.00016578192463596598,0.05163279573409578,0.13462980579387057,0.00040166366496992013,0.04899041520603893,-0.00011874077259184101,0.15340879688608425,3.9675535733674215e-05,1.8085800405076569e-06,0.0013109465151663225,0.0,0.002083184559488549,0.002962069239265408,0.022563075536200163
ind02,0.9630503184385331,0.02218368104725308,0.002353944510394368,0.08959746991652273,0.9400485391644869,0.08890623474314811,0.007256858674538092,0.0,0.0,0.0008151658983448495,0.0015678987483843665,0.0017909949622993305,0.001972259457807479,0.021049506713473033,3.8593156481581126e-05,0.037100379908538116,0.060510610302159006,0.006941007973924584,0.026326117841796504,0.002456136998124103,0.005188051802673144,0.0012053342265015087,7.899023381714443e-05,0.00249971926535737,0.0010750382727344743,0.0003498394126018489,0.000738297170688762,0.0049780897469627215,0.0656547581337336,0.0011788712341219254,0.04396244868340486,0.0004495816991543222,0.004029905131993883,0.00011810245836127998,0.0,0.0005607010510525701,2.055289926050641e-06,0.005277094269657723,0.002222566862383424,0.025795334384844316
ind03,0.9620121995920892,0.01834920567322571,0.003492478393157561,0.11310660764325972,0.9391784971877308,0.03245723827452598,0.005080507727932182,0.0,0.0,0.00082016194348562,0.005745271167928135,0.01277293811032485,0.010514885378008775,0.07073217844683051,4.1347379549350197e-05,0.01636431896694155,0.04656825783735339,0.007222808583177675,0.028972071439523673,0.0018504658696907761,0.0045992195024606945,0.0004814130874061462,0.0005459277415835295,0.0008810308701266756,0.0010618559509369741,0.00017347425323603892,0.00036684384034151306,0.002907746634390862,0.04352409991563224,0.0005510300571170523,0.025065187540378543,0.0005429201438722275,0.0013793748475861456,0.0003370400684302277,0.0,0.00021713649760208843,3.337987015163968e-05,0.001933377293509886,0.004300352907625848,0.023904090751906026
ind04,0.9602161482163197,0.03218974498185678,0.0036478932752469937,0.1296956994335212,0.997387397425064,0.06924154025931398,0.09245829816886353,0.0,0.0,0.03790646451578474,0.010856696029772595,0.003262199330266724,0.005254660335510808,0.042614014259893106,0.0001670782414166405,0.026374919511848692,0.08545608738365093,0.008129677025074989,0.0688587487828819,0.0015494519943247908,0.004693029948687433,0.0017125092722772629,7.295773373154902e-05,0.0024097157941323165,0.00191323153450913,0.0005226179380986018,0.00036426323950475845,0.0062394530578029125,0.04131302298101176,0.0004630380262062861,0.03767492990984067,0.0007957221408483317,0.0009367670044960086,0.0004026705313680878,0.0,0.0004402232217326052,-6.409958507758162e-06,0.006931368799380833,0.002789351770465953,0.01476813239918764
ind06,0.9822391835816483,0.006578072834531512,0.0027030421476109457,0.027234476050046762,0.8642408407180527,0.02179116325471129,0.0028720729361790378,0.0538175020515711,0.0,0.00043932890808138223,0.003613000576902392,0.0008970497970251623,0.003450470715126941,0.06563491353814113,0.02021447786471282,0.010353511507813894,0.02066335996697426,0.012450518415021428,0.01807174925148234,0.0015940984463466811,0.0017138981307788237,0.0013839134177206836,0.00020088816945982302,0.0012078867211326116,0.0013189246823499979,6.968426871785116e-05,0.0012753567725055648,0.00510922347647087,0.054465005390966416,0.00042492103503195545,0.024954987575691746,0.00019604643189878866,0.002123767625110284,0.00010913770502853914,0.0,0.0001707588894738654,5.173423270585786e-05,0.002004185880265097,0.0010690847266596082,0.004781110797470523
ind07,0.973042992323839,0.019766742586153362,0.010722426342428792,0.12525377650798744,1.073266424458101,0.05406924096697048,0.0016851219243980476,0.0,0.0,0.0008607202685727122,0.0051847970283271485,0.004152370557433826,0.006690764720605547,0.009681502507274908,0.0003245662623023504,0.022019477223170235,0.026639527364740623,0.0049945721838193565,0.015608303559842884,0.0016823325665385803,0.0037307818863839158,0.0013656869134325068,0.0001716175603931447,0.0014972447016655677,0.0032394029489617006,0.00010867722568945748,0.0006185976914138802,0.006660899687766908,0.024949093615434226,0.0005056245625333578,0.019916493972778438,0.0007560806265511256,0.0015536343789255946,0.00014536063842400803,0.0,0.0006186185448243009,8.134004612947443e-06,0.0031106935155026604,0.002396897156045741,0.015313211179537123
ind08,0.9758130568452823,0.010189168263377213,0.0024637996648615877,0.06324233546270279,0.8359474205939366,0.09299689688586325,0.002251938623534522,0.04776938071636776,0.0,0.0005002287001542926,0.009464906336075241,0.0032004053362149733,0.007926625690127498,0.02922049764243766,-2.4959889777020905e-05,0.012602217953596728,0.02960211062228759,0.003418337955731854,0.01279762202948509,0.0018144157458263254,0.0021387035823114964,0.0009891297429923673,6.55679482258753e-05,0.001367511336924121,0.0003210871081728461,2.984302634507774e-05,0.0001775190659367931,0.0027135017624668966,0.015909941597986976,0.0003685007622781011,0.004186433863409,6.86152892354741e-05,0.00047149658966723075,7.154124442210197e-05,0.0,0.0001443351661400083,0.0,0.0013553948589213106,0.0013152976522153859,0.004352948989384431
ind09,0.9277193522458637,0.07158427860303233,0.00482252952195703,0.16434632016158593,0.8817473886519036,0.13866041806149806,0.012123107069218686,0.0,0.0,0.0035895860815942982,0.004767647280058629,0.006191854536772489,0.003670542658725506,0.0064880290726530895,0.00021615843546969328,0.042085874017319426,0.09536755398958008,0.013159883133096417,0.02419047200461133,0.00618655726415489,0.005621719331332109,0.0018716426970844858,6.071209962854596e-05,0.0044228705476772046,0.0027097623393002924,0.00025980282861755023,0.0001730695341390476,0.01261687877177462,0.029077566992970393,0.0012848055296581506,0.02114406724753102,0.0007401384362839992,0.002791810576759901,0.00023082135679051153,0.0,0.0006602195362283459,2.089321430156499e-05,0.00211079438609032,0.007499888559343737,0.012168115676904411
ind10,0.9558667326014473,0.019464950210451228,0.00555303406018306,0.11977296919893905,0.7324771879106711,0.20911861467313572,0.006781058314780086,0.0,0.0,0.0019469818431564478,0.0032472446357092013,0.0063947084427062205,0.005087304321101782,0.008291279389600437,0.0,0.02870630390755822,0.03224455318257495,0.011133692863686751,0.029618897697094804,0.00410812168535255,0.0025069863147001215,0.00042408240503664094,0.00020574734206764146,0.0011213953874855242,0.0005727851196100309,-9.891767696346144e-06,0.0005438472788452664,0.003952793753850492,0.009143920800672367,0.00017016292313485338,0.01347199007979658,0.0,0.0006702585611678025,0.0004601621494733976,0.0,0.00020182903554906152,0.0,0.0028955665068237436,0.0012638342217865307,0.015223985041547428
ind11,0.9459393366179114,0.05315078603782029,0.009993471430088885,0.09721057767570587,0.7343319665439466,0.06792928907118953,0.011480945974649548,0.05902858423460289,0.0,0.022602951483472265,0.003745827337192598,0.015470020710566135,0.014020303166955416,0.026105333876599413,0.00011671542540845348,0.024808929131004253,0.08880817695313366,0.03837048529811933,0.06333611187582415,0.00946096366498952,0.010866935280955036,0.020592860447769736,0.00035045413745082854,0.0037870657487030445,0.001026974104974454,0.0003212521235526955,5.185349450964605e-05,0.022260902261094073,0.09908388050417069,0.0010187957527830749,0.05224335063882104,0.0007247902441444686,0.040378690217685476,1.7244182973463752e-05,0.0,0.0003492175636159667,0.00015294567542141203,0.007639528444237986,0.0032170762597994117,0.017187304404530424
ind12,0.9602292351636159,0.0523339207003354,0.003394415045985566,0.08407090417668912,0.7808324876549887,0.09467801461868523,0.011149289739651458,0.06874785648831819,0.0,0.0021941234576501323,0.0013318621057375913,0.0028986702848137202,0.007458555813873535,0.004715513566847562,0.00036141564903020563,0.016003100360048685,0.12262897725531537,0.045177622555672835,0.07998924765871288,0.023689422343982237,0.011080573419167683,0.008576231101686016,0.00022894360703624718,0.004093967722508807,0.001299408104147859,0.00016617971672177044,0.0007945380225272914,0.01569610565928865,0.20532706847637652,0.0009207860513249066,0.06023292148458066,0.00025324635463110925,0.02403514420158377,0.0003848164476978777,0.0,0.0006915419735407325,4.2542336244189014e-05,0.003180229684456659,0.003994602783338008,0.0083485206269313
ind13,0.9635162819418182,0.2566045904759471,0.31343165278495005,0.09055374739834325,0.8714351739069965,0.19089451285898656,0.012962053825175745,0.054291247183047855,0.0,0.0012768930162834868,0.0018848617085378105,0.001520463307396791,0.009644581313733492,0.007937918509041774,3.6378797630143286e-05,0.017365592713886446,0.14068660947527772,0.031071775330333406,0.13661632351349373,0.0070568541895392745,0.006817003754476669,0.013504507537770327,0.00017094361626599497,0.0067041343947845,0.0007472538267852436,3.974867220537526e-05,0.0002606637230277764,0.018122525783559662,0.09259509458962419,0.0004991459741174209,0.03320380270348013,9.514056168105078e-05,0.0378927113210696,9.642191453622662e-05,0.0,0.0008383700977322884,0.00011151972582985614,0.0034200060773569296,0.0030407616419569905,0.011425650261598497
ind14,0.9518921944676345,0.746717496282654,0.27955579426367594,0.26124819946548944,0.755593311070085,0.19156194988783964,0.0072473224539924665,0.0,0.0,0.0024628374582208678,0.007566744524808255,0.009283758102457584,0.004881295979168865,0.0016010529036401878,0.00025508991527669613,0.029413630924630164,0.07465518507744606,0.010455475205853593,0.033449901698193354,0.0034166189916249754,0.0038291816378812626,0.0028088430909307682,0.0004522482837788333,0.004171001664255191,0.001376536996336064,6.948821013068596e-05,0.00038633388178670457,0.00985815094357394,0.03873354258167896,0.0014052645737777203,0.02050644476619623,0.0005467108397587906,0.001533762470667388,9.055083179214663e-05,5.896052297027499e-05,0.00024738272322142316,0.000335192522471095,0.00259230671471018,0.002920607494264127,0.014880344890822527
ind15,0.9597432359835878,0.06856902446427852,0.011031045474182034,0.06595594970718648,0.8737939129792208,0.09077129340283344,0.008711096843571898,0.052907805383911974,0.0,0.002423146381830299,0.0032352975545210548,0.00666508803790562,0.006175809017356104,0.00909476356124279,-0.00030278962195757765,0.023017122292591074,0.05258309551628286,0.04506654047346288,0.03144952962936307,0.013040874206039698,0.010809534372018148,0.020323963902255705,5.7552974178376457e-05,0.002434729608147057,0.0014169312962617696,0.0004877659784277011,0.0004134053818749539,0.008754724364357758,0.12545475756726618,0.0006772944423794503,0.04989692440919084,0.0010481973307622904,0.01095870714351208,9.940456875117132e-05,0.0,0.0019308576945197054,4.635610941339241e-05,0.0028135037995710376,0.007146317178013795,0.013170984170126854
ind16,0.9686479394191752,0.018398026091480602,0.002265014874088633,0.08930503435302155,0.912172790754296,0.08361210183891173,0.008860217834311613,0.0,0.0,0.0017585315834782512,0.004774986305517648,0.003759138291131436,0.0027492991649350263,0.002612175589709187,0.0,0.02299708790878594,0.04063948202679437,0.006092751480788338,0.02794962393503362,0.0021557503759551456,0.0024442852241193247,0.0014023607343366384,0.00018866153382022244,0.0015235737472096389,0.0020736711800416474,5.5598698217096396e-05,0.0002786245022475597,0.007412178108615985,0.02261652535168186,0.0009886805702122414,0.015569426323651481,0.0004367310410303693,0.0011000492572037722,0.0005750006887140557,0.0,0.00017376472102219597,0.0,0.001935580677729476,0.0013635528859482714,0.003855321013242552
ind17,0.9530561773141046,0.0361226664310097,0.003540568608617134,0.058264657560645784,0.5926237443311922,0.11542321131521258,0.008410439108131862,0.0,0.0,0.003757231456195065,0.003690742860243179,0.0014672534224882572,0.0023773293076813306,0.005794292450887473,0.0,0.03422625053154658,0.02681669192396141,0.14965752714852912,0.044416419704455,0.005777551131520608,0.007936980486520629,0.10936779222217155,0.0011934200958165775,0.002458211891212159,0.0020829651106683,7.597041112981096e-05,0.00012761268880419064,0.24515653077325963,0.07177532551627008,0.0010488854856203211,0.01723034821255993,0.040313693921907624,0.36915648293148795,6.42810016369566e-05,-7.472730466551169e-06,0.003856516192378745,0.0,0.004442928886806108,0.011218394742150872,0.04962633426720138
ind18,0.964908166278142,0.03802309555410015,0.0016597132597848453,0.06773386302182774,1.0013306317041182,0.10980694492241824,0.005012342648820223,0.018048624875142805,0.0,0.004381708930050387,0.006073004693305517,0.005172945524361738,0.0031553329712534772,0.016629720460428033,8.141216363832804e-05,0.011060507883022597,0.07445116290557481,0.014532247628358207,0.017016144126649424,0.0033088317475948427,0.0044649540704453814,0.011255800278882821,0.00015907902529155304,0.001871867196262822,0.0015115851581947615,0.0001464698121812269,0.0005435291435623047,0.008031754129316426,0.10767121682975622,0.0006052487812365781,0.03702456770557845,0.0007352533263571992,0.042900114821575894,6.727902940730778e-05,0.0,0.00028353732025732103,2.2720423750022257e-05,0.003053418335926672,0.0028756782703003524,0.007467507009714503
ind19,0.9670502478879228,0.026415783981400588,0.004291794211513311,0.17005579632274465,0.8701754894264679,0.06675998853930054,0.009258913858570073,0.0,0.0,0.0008726652537698997,0.002542762537677734,0.007637419165256976,0.004315222666590945,0.023689934342539454,9.856858172685445e-05,0.02563189728879158,0.03280742333473987,0.005063738672250673,0.0183830610465467,0.002167620613314347,0.0023342891598555626,0.0010598621963236131,0.00015024822950946426,0.0010096807621936988,0.0007891295123686248,0.00016070639760603633,0.00028528926498863074,0.003275439940680602,0.0145837933950707,0.0008851983856669632,0.014380843233414375,0.00018848898622252362,0.000828241649549466,0.0002122024490990304,0.0,0.0002018465038063244,4.3436960816989334e-05,0.0026985780101154377,0.0018292307924957286,0.006514412302454553
ind20,0.9654994890202636,0.037709965665245225,0.007723008807079013,0.10272196019694942,0.8732400087716833,0.13625159195706954,0.0042212352573761215,0.055373041383647556,0.0,0.0013124146182876828,0.0018239092396846734,0.002595576354576634,0.0020948453843739,0.008667591838323486,0.0,0.011694603283440231,0.0562741167912534,0.01256548024361046,0.03257832158965546,0.01095551467326612,0.0051047559550776,0.029817512570460593,0.00022812021624072366,0.002912730973866662,0.0008010146977536214,6.272008973020604e-05,0.00022453999446416794,0.021315294259087493,0.03310411948956615,0.0002720169136756878,0.027410982981478503,0.0008299027482276955,0.047894851861730946,5.826110251323513e-05,0.0,0.0008236468500385952,2.1407541089790703e-05,0.008897541669695008,0.003176285974845805,0.01416320854264006
ind21,0.9100189768894017,0.03399254902647906,0.10708377662652095,0.0798678859770442,0.8895275077119085,0.11107990216673654,0.01633957467421705,0.03727683358769553,0.0,0.0046965334674472945,0.05157507467834939,0.0012976182048968,0.11145028815277813,0.005094374741450314,0.002890772226670557,0.07110314313797868,0.3880317518640508,0.10531540202791886,0.4572133029045304,0.036200366973616616,0.029539332364494974,0.027500215959429797,0.0007383715278286296,0.00991606192271488,0.0028483072874446957,0.000177976083096687,0.000994841109859812,0.11326353866397838,0.6923932060202269,0.004091945535285979,0.20504274154417423,0.015780949122886124,0.7831641079348133,0.00027755149465811255,2.0458226126507384e-07,0.002834698813572434,6.446539092685999e-05,0.018871934673597556,0.0030262680965185583,0.0616854605054741
