Sensor,R2_Test,560nm,Outdoor PM(5.0),Outdoor PC(0.5),Outdoor Temperature,585nm,Outdoor PC(2.5),Outdoor Humidity,705nm,Outdoor Dew Point,Outdoor PC(1.0),Outdoor PC(0.1),SolarZenithAngle,Outdoor Pressure,645nm,Outdoor PM(0.3),Outdoor PC(5.0),Outdoor PM(10.0),Outdoor PC(10.0),Outdoor PC(0.3),410nm,Outdoor PM(2.5)
ind01,0.8438369216294583,0.4013744517695677,2.1347012838859465,3.928448168496155,0.9803172279942761,0.8307544210820129,4.096382905823651,0.6717230403095252,0.4682889623689899,1.0496461753765152,7.128577329043375,,,,,,,,,,,
ind02,0.9635281740162807,,,2.4264130849251133,0.8300533991222482,0.39008516033146773,1.0954205276774027,,,0.5408025886454569,6.240790837271508,0.7732045445061447,0.528429791958474,0.39085018423821094,0.6466442776087102,,,,,,,
ind03,0.9623496245086313,,0.7990739197598479,2.41376472060073,0.8053922419106856,0.5632974129833869,0.6733154468996243,,,0.511477447556892,5.040739679131402,0.5706869825198585,0.6001389374862078,,0.595156659375634,,,,,,,
ind04,0.9544863208183823,,0.7208379331555835,2.4946786997288855,0.4405003209347718,0.6344140995163756,1.0596565112931733,,,0.762770363078802,6.906587946806437,,,,1.219708875213176,0.8251384400238914,1.6027611697861843,,,,,
ind06,0.9775531707602538,,0.06322907827992819,1.9344435419870234,0.44359557158271756,0.4624895222435586,1.734654825356487,,,0.4299101505294863,8.8095354299856,,,,0.7999379738107842,,,2.665708326107529,0.8746452588240418,,,
ind07,0.9725181299086627,,,1.976317233605746,0.776542699388734,0.3831045721954249,1.1355769364100388,,,0.3073959388664079,5.997070889780365,0.3679550902965903,0.3625633138011966,0.3514347152646872,0.5068967567436661,,,,,,,
ind08,0.972502978332962,,0.5795296845919746,1.604019786697375,0.6779986119194951,0.3425732398907598,1.3253426100029893,,,0.49468405173280516,7.031861792842995,0.6128354968463525,,0.4012686569443333,,,,,0.5791896550315516,,,
ind09,0.9256466296363283,,,2.497638467903868,0.6836050989774988,0.37540204475994,1.7958577434567582,0.3372515608552277,,0.5702389932031474,4.701323109076149,1.3332514760174485,,0.442108353747323,0.5417289662781535,,,,,,,
ind10,0.95466314156037,,,2.6660896205705877,0.588979420092903,,1.7136976139669,0.21679155063596844,,0.6556973027682663,5.609882544669568,1.2395213800958698,0.3883335180501486,0.5647990369790339,0.3141198823583146,,,,,,,
ind11,0.9468155483942104,,,4.37425018143502,1.2442704584807291,1.344758594600894,1.5029498056035875,,0.5537074743886153,0.6568848425908314,6.26636785670946,0.8322706393950703,,,1.2100599903095817,,,,0.7520281490187976,,,
ind12,0.955672623992429,,,2.4754887520515623,1.2746196389706363,0.621384134618637,1.304488680607753,0.18512448677569618,,0.41797968473115055,8.246081647212394,0.8083106055755113,,,1.0042018161107407,,,,1.1967645064190413,,,
ind13,0.9528273064441797,,,3.414352443454259,1.4222490538765553,0.6687712858232785,1.6067414180136101,,0.32372503299941696,0.48399999685680334,5.668278990962954,1.6305689999517738,,,,,,,0.12409197425510697,0.4838630509366371,,
ind14,0.948705614225141,,,2.690078802003931,1.1554110747153863,0.5134559702840205,1.8948730544208952,,,0.49443459399431156,5.167106743187196,1.7600414846248973,,0.4687489501507564,0.4789854546574572,,,,,0.402507865814489,,
ind15,0.9515966142942599,,,2.591520460751389,0.6430136724660015,0.6317313879932748,1.3766950458184934,0.23355392513558781,,0.5745696890900472,6.560502115216972,0.803601869646198,,,1.0957661303779616,,,,0.7360734262813897,,,
ind16,0.9679414256298462,,,2.1840942751805916,0.8580677154931322,0.3688227477838456,1.400467025427873,,,0.47910226522786314,6.508917677397406,0.8730861734397887,,0.507702207691053,0.43714808435440095,,0.36341226005587157,,,,,
ind17,0.9548038015157382,1.3315684356556368,,1.2431430553297051,,0.8339303605904256,2.363460041891223,0.5088490563891352,0.645855069741127,0.7660753259756575,4.546226044872892,,0.27723811592802217,,,,,,,,0.3640500374227944,
ind18,0.9607652757893381,,,2.7743662595500846,1.1044093123961818,0.8509224918712629,1.6306568829501746,,0.2315240578062028,0.5514545144557884,6.637508986045887,0.8447515214885848,,,0.8881852415599767,,,,0.3111817106719686,,,
ind19,0.9649981217679771,,0.5432593572250246,2.928476374905005,0.6547333864158835,0.2895813169115433,1.17050298048015,,,0.5288683390870869,6.81450694425089,0.9912740195200733,,0.4353944835492352,0.35968981615887885,,,,,,,
ind20,0.9558947224312365,,,2.7336714664236395,1.0594354296467043,0.5732429956502373,1.3219650834896493,,0.38607129632849213,0.6713985709300692,5.834150272418393,0.7836212864633041,,,,,,,0.005536201846715994,,0.22305746759213943,
ind21,0.89082078061136,1.3207334881818664,,,0.9173260477969424,1.714094261592849,3.613694834407426,,1.501393961241746,1.141057514468146,7.841769933915198,,,,1.9278177041808453,,,,,0.867910167018589,,2.0539423582490923
